,tconst,isAdult,startYear,runtimeMinutes,genre_1,genre_2,genre_3,directors,title,averageRating,numVotes,primaryName
5888,tt0073932,0,1975,95,Comedy,Drama,,nm0260474,Zorrita Martínez,4.5,30,Vicente Escrivá
5889,tt0073945,0,1976,105,Comedy,Romance,,nm0485859,À nous les petites Anglaises!,5.3,561,Michel Lang
5890,tt0075371,0,1977,103,Drama,,,nm0485859,Une fille cousue de fil blanc,6.1,48,Michel Lang
5891,tt0077710,0,1978,110,Comedy,,,nm0485859,L'Hôtel de la plage,6.0,331,Michel Lang
5892,tt0080041,0,1980,120,Comedy,Musical,Romance,nm0485859,Tous vedettes!,6.3,94,Michel Lang
5893,tt0082128,0,1982,100,Comedy,,,nm0485859,Le cadeau,6.1,464,Michel Lang
5894,tt0082848,0,1981,109,Adventure,Comedy,,nm0485859,On n'est pas des anges... elles non plus,4.6,66,Michel Lang
5895,tt0088463,0,1985,102,Comedy,,,nm0485859,À nous les garçons,4.4,168,Michel Lang
5896,tt0088468,0,1986,108,Comedy,,,nm0485859,L'étincelle,5.6,46,Michel Lang
5897,tt0092764,0,1987,102,Comedy,,,nm0485859,Club de rencontres,5.1,104,Michel Lang
5898,tt0073948,0,1975,89,Drama,,,nm0617767,Adoption,7.3,1313,Márta Mészáros
5899,tt0074744,0,1976,88,Drama,,,nm0617767,Neuf mois,6.7,309,Márta Mészáros
5900,tt0076968,0,1977,100,Drama,,,nm0617767,Les deux berges,6.5,238,Márta Mészáros
5901,tt0078027,0,1978,110,Drama,,,nm0617767,Comme chez nous,6.8,71,Márta Mészáros
5902,tt0081821,0,1980,105,Drama,Romance,War,nm0617767,Les héritières,6.6,357,Márta Mészáros
5903,tt0082021,0,1981,99,Drama,,,nm0617767,"Une mère, une fille",6.4,23,Márta Mészáros
5904,tt0084388,0,1984,106,Biography,Drama,,nm0617767,Journal intime,7.4,892,Márta Mészáros
5905,tt0093599,0,1987,141,Biography,Drama,,nm0617767,Journal à mes Amours,6.8,271,Márta Mészáros
5906,tt0100223,0,1990,119,Biography,Drama,,nm0617767,Journal pour mon Père et pour ma Mère,6.6,208,Márta Mészáros
5907,tt0163314,0,1970,84,Drama,Music,,nm0617767,La Belle et le vagabond,6.3,344,Márta Mészáros
5908,tt0074094,0,1976,89,Comedy,Crime,,nm0519193,Les aventures érotiques d'un chauffeur de taxi,4.3,781,Stanley A. Long
5909,tt0075638,0,1977,96,Comedy,Crime,,nm0519193,Un détective trop privé,4.2,570,Stanley A. Long
5910,tt0339653,0,1972,88,Comedy,Romance,,nm0519193,La vie sexuelle extra-conjugale,5.1,165,Stanley A. Long
5911,tt0074096,0,1976,90,Drama,,,nm0144110,L'affiche rouge,6.4,49,Frank Cassenti
5912,tt0077317,0,1978,110,Adventure,Drama,Mystery,nm0144110,La chanson de Roland,5.5,157,Frank Cassenti
5913,tt0074108,0,1976,97,Action,Adventure,Drama,nm0331495,Le souffle de la mort,5.3,297,Jürgen Goslar
5914,tt0075230,0,1977,98,Adventure,Drama,History,nm0331495,Mafia Cop,4.6,159,Jürgen Goslar
5915,tt0074112,0,1976,100,Comedy,Romance,,nm0466793,Alex ou la liberté,5.2,255,John Korty
5916,tt0078024,0,1978,91,Drama,Romance,,nm0466793,Oliver's Story,4.6,992,John Korty
